STATE/UT,DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total
MADHYA PRADESH,TOTAL,2010,144,1182,440,18,7,93,18,0,2,4,3004,4912
MAHARASHTRA,TOTAL,2010,214,747,749,5,16,198,26,27,1,4,1277,3264
MANIPUR,TOTAL,2010,2,11,60,0,0,0,0,0,0,0,0,73
MEGHALAYA,TOTAL,2010,2,91,16,0,0,0,0,0,0,0,1,110
MIZORAM,TOTAL,2010,1,42,0,0,0,0,0,0,0,0,7,50
NAGALAND,TOTAL,2010,0,3,7,0,0,0,0,0,0,0,0,10
ODISHA,TOTAL,2010,9,74,51,0,0,0,4,0,0,0,56,194
PUNJAB,TOTAL,2010,45,144,373,15,2,11,0,0,1,0,36,627
RAJASTHAN,TOTAL,2010,82,369,706,18,2,119,14,0,0,2,6,1318
SIKKIM,TOTAL,2010,3,14,5,0,0,0,0,0,0,0,7,29
TAMIL NADU,TOTAL,2010,80,203,459,0,1,0,13,0,0,0,54,810
TRIPURA,TOTAL,2010,2,107,22,0,0,0,32,0,0,1,63,227
UTTAR PRADESH,TOTAL,2010,346,451,1225,18,0,0,0,0,0,5,287,2332
UTTARAKHAND,TOTAL,2010,3,10,9,0,0,0,0,0,0,0,9,31
WEST BENGAL,TOTAL,2010,16,73,332,0,3,0,200,48,115,0,93,880
A & N ISLANDS,TOTAL,2010,1,15,9,3,0,0,0,0,0,0,23,51
CHANDIGARH,TOTAL,2010,1,16,23,0,0,6,0,0,0,0,13,59
D & N HAVELI,TOTAL,2010,0,3,10,0,0,0,0,0,0,0,0,13
DAMAN & DIU,TOTAL,2010,0,1,1,0,0,0,0,0,0,0,0,2
DELHI,TOTAL,2010,29,304,2982,7,0,45,0,0,4,0,259,3630
LAKSHADWEEP,TOTAL,2010,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,TOTAL,2010,0,3,8,0,0,0,0,0,0,1,4,16
ANDHRA PRADESH,TOTAL,2011,101,646,735,7,11,53,106,0,2,15,537,2213
ARUNACHAL PRADESH,TOTAL,2011,0,20,15,0,0,0,0,0,0,0,0,35
ASSAM,TOTAL,2011,8,40,29,0,0,0,142,0,0,0,17,236
BIHAR,TOTAL,2011,124,91,1821,1,0,1,183,1,1,0,10,2233
CHHATTISGARH,TOTAL,2011,59,477,283,21,5,7,15,0,1,5,909,1782
GOA,TOTAL,2011,2,20,17,0,2,4,0,0,0,0,30,75
GUJARAT,TOTAL,2011,69,130,605,0,1,105,4,0,0,13,204,1131
HARYANA,TOTAL,2011,14,66,144,5,4,15,0,2,2,6,22,280
HIMACHAL PRADESH,TOTAL,2011,6,72,108,0,1,8,3,0,0,0,63,261
JAMMU & KASHMIR,TOTAL,2011,4,9,5,1,0,1,0,0,0,0,5,25
JHARKHAND,TOTAL,2011,5,16,18,1,0,1,15,1,6,0,22,85
KARNATAKA,TOTAL,2011,52,97,109,1,0,21,8,0,1,12,33,334
KERALA,TOTAL,2011,47,423,129,0,2,4,9,0,0,3,835,1452
MADHYA PRADESH,TOTAL,2011,123,1262,517,38,12,89,20,0,3,5,2312,4381
MAHARASHTRA,TOTAL,2011,204,818,858,12,12,189,20,20,2,19,1208,3362
MANIPUR,TOTAL,2011,3,19,65,0,0,0,0,0,0,0,0,87
MEGHALAYA,TOTAL,2011,8,66,16,0,0,0,0,0,0,0,14,104
MIZORAM,TOTAL,2011,0,39,3,0,0,0,0,0,0,0,10,52
NAGALAND,TOTAL,2011,5,15,0,0,0,0,0,0,0,0,0,20
ODISHA,TOTAL,2011,18,165,85,0,1,1,12,0,0,1,32,315
PUNJAB,TOTAL,2011,41,166,349,15,0,22,0,0,0,0,29,622
RAJASTHAN,TOTAL,2011,78,394,785,13,0,98,19,0,2,5,97,1491
SIKKIM,TOTAL,2011,1,11,7,0,0,0,0,0,0,0,10,29
TAMIL NADU,TOTAL,2011,108,271,519,0,2,2,0,0,0,0,23,925
TRIPURA,TOTAL,2011,9,45,28,0,0,0,5,0,0,0,15,102
UTTAR PRADESH,TOTAL,2011,326,1088,3739,12,5,0,0,1,4,4,321,5500
UTTARAKHAND,TOTAL,2011,9,23,39,0,0,0,0,0,0,0,12,83
WEST BENGAL,TOTAL,2011,46,252,660,0,3,1,298,0,87,25,78,1450
A & N ISLANDS,TOTAL,2011,1,9,11,0,0,2,0,0,0,0,8,31
CHANDIGARH,TOTAL,2011,3,15,40,0,0,7,0,0,0,0,9,74
D & N HAVELI,TOTAL,2011,2,1,8,0,0,0,0,0,0,0,0,11
DAMAN & DIU,TOTAL,2011,0,0,2,0,0,1,0,0,0,0,0,3
DELHI,TOTAL,2011,39,339,3528,5,0,68,3,0,2,0,266,4250
LAKSHADWEEP,TOTAL,2011,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,TOTAL,2011,0,6,7,0,0,0,0,0,0,0,2,15
ANDHRA PRADESH,TOTAL,2012,113,613,781,1,21,49,30,0,4,29,633,2274
ARUNACHAL PRADESH,TOTAL,2012,0,18,20,0,0,0,0,0,0,0,1,39
ASSAM,TOTAL,2012,15,156,68,0,0,0,122,0,0,0,31,392
BIHAR,TOTAL,2012,129,137,2546,1,0,0,48,2,10,16,5,2894
CHHATTISGARH,TOTAL,2012,69,519,276,5,10,9,13,0,0,2,978,1881
GOA,TOTAL,2012,3,38,15,0,1,4,0,0,0,0,61,122
GUJARAT,TOTAL,2012,60,150,834,7,1,79,19,0,0,14,163,1327
HARYANA,TOTAL,2012,40,276,535,28,3,15,0,0,0,11,107,1015
HIMACHAL PRADESH,TOTAL,2012,9,89,97,0,0,3,3,0,0,0,65,266
JAMMU & KASHMIR,TOTAL,2012,0,13,23,0,0,1,0,0,0,0,3,40
JHARKHAND,TOTAL,2012,1,6,32,0,0,0,16,5,7,0,46,113
KARNATAKA,TOTAL,2012,57,142,471,3,0,41,45,0,0,20,96,875
KERALA,TOTAL,2012,34,455,147,1,3,4,10,0,0,6,664,1324
MADHYA PRADESH,TOTAL,2012,140,1632,630,64,19,134,21,0,5,3,2520,5168
MAHARASHTRA,TOTAL,2012,212,917,893,22,13,199,31,4,2,6,1157,3456
MANIPUR,TOTAL,2012,4,17,61,0,0,0,17,0,0,0,5,104
MEGHALAYA,TOTAL,2012,0,81,9,0,0,0,0,0,0,1,0,91
MIZORAM,TOTAL,2012,1,73,1,0,0,1,0,0,1,0,18,95
NAGALAND,TOTAL,2012,1,7,5,0,0,0,0,0,0,0,0,13
ODISHA,TOTAL,2012,25,192,96,0,0,0,5,0,0,1,99,418
PUNJAB,TOTAL,2012,48,295,459,25,2,15,0,0,0,0,33,877
RAJASTHAN,TOTAL,2012,55,572,847,37,6,172,20,0,1,10,87,1807
SIKKIM,TOTAL,2012,1,21,6,2,0,0,0,0,0,0,0,30
TAMIL NADU,TOTAL,2012,95,292,576,0,1,4,28,0,0,0,40,1036
TRIPURA,TOTAL,2012,2,17,0,0,0,0,0,0,0,0,1,20
UTTAR PRADESH,TOTAL,2012,463,1040,4239,11,57,2,2,0,18,5,196,6033
UTTARAKHAND,TOTAL,2012,11,34,53,0,0,0,7,0,0,0,17,122
WEST BENGAL,TOTAL,2012,46,285,767,0,7,8,369,3,56,43,122,1706
A & N ISLANDS,TOTAL,2012,1,10,8,1,0,0,0,0,0,0,8,28
CHANDIGARH,TOTAL,2012,1,17,59,0,0,10,0,0,0,0,9,96
D & N HAVELI,TOTAL,2012,1,1,6,0,0,0,0,0,0,0,0,8
DAMAN & DIU,TOTAL,2012,0,4,2,0,0,0,0,0,0,0,2,8
DELHI,TOTAL,2012,41,415,3686,2,0,68,3,1,4,1,241,4462
LAKSHADWEEP,TOTAL,2012,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,TOTAL,2012,0,7,18,0,0,3,0,0,0,1,3,32
